date,basic _loan_rate,dec
1980/12,7.25,TRUE
1981/12,5.5,TRUE
1982/12,5.5,TRUE
1983/12,5,TRUE
1984/12,5,TRUE
1985/12,5,TRUE
1986/12,3,TRUE
1987/12,2.5,TRUE
1988/12,2.5,TRUE
1989/12,4.25,TRUE
1990/12,6,TRUE
1991/12,4.5,TRUE
1992/12,3.25,TRUE
1993/12,1.75,TRUE
1994/12,1.75,TRUE
1995/12,0.5,TRUE
1996/12,0.5,TRUE
1997/12,0.5,TRUE
1998/12,0.5,TRUE
1999/12,0.5,TRUE
2000/12,0.5,TRUE
2001/12,0.1,TRUE
2002/12,0.1,TRUE
2003/12,0.1,TRUE
2004/12,0.1,TRUE
2005/12,0.1,TRUE
2006/12,0.4,TRUE
2007/12,0.75,TRUE
2008/12,0.3,TRUE
2009/12,0.3,TRUE
2010/12,0.3,TRUE
2011/12,0.3,TRUE
2012/12,0.3,TRUE
2013/12,0.3,TRUE
2014/12,0.3,TRUE
2015/12,0.3,TRUE
2016/12,0.3,TRUE
2017/12,0.3,TRUE
2018/12,0.3,TRUE
